n,time
5 , 0.00002
6 , 0.00001
7 , 0.00001
8 , 0.00002
9 , 0.00003
10 , 0.00003
12 , 0.00004
14 , 0.00004
16 , 0.00006
19 , 0.00008
22 , 0.00008
26 , 0.00005
31 , 0.00008
37 , 0.00013
44 , 0.00016
52 , 0.00017
62 , 0.00021
74 , 0.00029
88 , 0.00060
105 , 0.00030
126 , 0.00082
151 , 0.00091
181 , 0.00080
217 , 0.00145
260 , 0.00270
312 , 0.00247
374 , 0.00434
448 , 0.00462
537 , 0.01022
644 , 0.01235
772 , 0.01431
926 , 0.02247
1111 , 0.02850
1333 , 0.03792
1599 , 0.06066
1918 , 0.07630
2301 , 0.11232
2761 , 0.16827
3313 , 0.22590
3975 , 0.24327
4770 , 0.39410
5724 , 0.50576
6868 , 0.70350
8241 , 0.97450
9889 , 1.41138
11866 , 2.03151
14239 , 3.70344

