n,time,log2n,sqrtn,n,nlogn,N^2,N^3,2^n
5,1E-05,2.32192809488736,2.23606797749979,5,11.6096404744368,25,125,32
6,1E-05,2.58496250072116,2.44948974278318,6,15.5097750043269,36,216,64
7,1E-05,2.8073549220576,2.64575131106459,7,19.6514844544032,49,343,128
8,2E-05,3,2.82842712474619,8,24,64,512,256
9,2E-05,3.16992500144231,3,9,28.5293250129808,81,729,512
10,2E-05,3.32192809488736,3.16227766016838,10,33.2192809488736,100,1000,1024
12,2E-05,3.58496250072116,3.46410161513775,12,43.0195500086539,144,1728,4096
14,3E-05,3.8073549220576,3.74165738677394,14,53.3029689088064,196,2744,16384
16,3E-05,4,4,16,64,256,4096,65536
19,4E-05,4.24792751344359,4.35889894354067,19,80.7106227554281,361,6859,524288
22,7E-05,4.4594316186373,4.69041575982343,22,98.1074956100205,484,10648,4194304
26,7E-05,4.70043971814109,5.09901951359278,26,122.211432671668,676,17576,67108864
31,0.0001,4.95419631038688,5.56776436283002,31,153.580085621993,961,29791,2147483648
37,0.00012,5.20945336562895,6.08276253029822,37,192.749774528271,1369,50653,137438953472
44,0.00017,5.4594316186373,6.6332495807108,44,240.214991220041,1936,85184,17592186044416
52,0.00021,5.70043971814109,7.21110255092798,52,296.422865343337,2704,140608,4503599627370496
62,0.00028,5.95419631038688,7.87400787401181,62,369.160171243986,3844,238328,4.61168601842739E+018
74,0.00042,6.20945336562895,8.60232526704263,74,459.499549056542,5476,405224,1.88894659314786E+022
88,0.00057,6.4594316186373,9.38083151964686,88,568.429982440082,7744,681472,3.09485009821345E+026
…,…,…,…,…,…,…,…,…
