n,time,log,,sqrtn,,n,,nlogn,,N^2,,N^3,,2^n,,n!,
5,7.10487365722656E-05,2.32192809488736,7.17206912895363,2.23606797749979,4.99968226543854,5,24.9992895176822,11.6096404744368,624.960924058072,25,624.996447568219,125,15624.9822378209,32,1023.99545288591,120,14399.9829483083
6,0.000319242477417,2.58496250072116,11.6624811214807,2.44948974278318,5.99843613956797,6,35.9961691921868,15.5097750043269,1295.70121360199,36,1295.97701464354,216,46655.8620873517,64,4095.95913706481,720,518399.540290934
7,0.00101375579834,2.8073549220576,17.5782727495946,2.64575131106459,6.99463673623571,7,48.9858084465241,19.6514844544032,2399.51011089255,49,2400.90065295946,343,117648.30456455,128,16383.7404795433,5040,25401589.7813426
8,0.003949642181396,3,25,2.82842712474619,7.97767304951556,8,63.936821324771,24,4087.41208158247,64,4095.49446140045,512,262139.955582006,256,65533.9777988028,40320,1625702081.50087
9,0.007237434387207,3.16992500144231,33.9897744888074,3,8.95662777413327,9,80.8697785614868,28.5293250129808,6538.75055753187,81,6559.82758800973,729,531430.447873044,512,262136.588919568,362880,131681889147.36
10,0.016503095626831,3.32192809488736,44.5966443698547,3.16227766016838,9.89589761091657,10,99.6702104396286,33.2192809488736,9930.86138740396,100,9996.6996532268,1000,999966.994081099,1024,1048542.20193251,3628800,13168189320227.1
11,0.044530868530274,3.4594316186373,56.8601715140069,3.3166247903554,10.7065986332449,11,120.022303890586,38.0537478050103,14394.6660193319,121,14630.2255128139,1331,1771442.46081097,2048,4194121.6035455,39916800,1.59335091868494E+015
12,0.133691549301147,3.58496250072116,70.8128561142691,3.46410161513775,11.0916312066258,12,140.809276247127,43.0195500086539,19789.6201300752,144,20697.5147072316,1728,2985521.97987905,4096,16776120.8167016,479001600,2.29442532674483E+017
13,0.401136159896851,3.70043971814109,86.4818214359277,3.60555127546399,10.2682762328752,13,158.731370061459,48.1057163358342,25068.4629673233,169,28425.5768881736,2197,4825046.56862363,8192,67102291.9460665,6227020800,3.87757880386369E+019
14,1.18487620353699,3.8073549220576,103.890013684903,3.74165738677394,6.53713001895456,14,164.227397918673,53.3029689088064,26582.8638872305,196,37952.9324598312,2744,7523034.80332661,16384,268396631.380494,87178291200,7.60005445634541E+021
15,3.61410045623779,3.90689059560852,123.057076257799,3.87298334620742,0.067020350719025,15,129.638708420644,58.6033589341278,15882.2018125824,225,49011.7165168008,3375,11366242.8836425,32768,1073504983.37422,1307674368000,1.71001225271475E+024
16,10.7631120681763,4,144,4,45.7396848467115,16,27.424995210481,64,277.61834984782,256,60141.1312024859,4096,16689160.4305189,65536,4293556669.21958,20922789888000,4.37763136696945E+026
17,32.5119805335999,4.08746284125034,166.733615876091,4.12310562561766,805.928218541061,17,240.621540074781,69.4868683012558,43309.5887724243,289,65786.1041297965,4913,23819163.3081551,131072,17171347420.4039,355687428096000,1.26513546505524E+029
18,94.3806993961334,4.16992500144231,191.27097446573,4.24264068711929,8124.86962782968,18,5834.0112402425,75.0586500259616,32943358.7454163,324,52725.0232098089,5832,32920275.238662,262144,68670002975.5914,6402373705728000,4.09903890677961E+031
19,290.261921644211,4.24792751344359,217.623642648615,4.35889894354067,81740.5383893799,19,73583.03013411,80.7106227554281,5371829872.24623,361,5003.87572946977,6859,43148319.9420413,524288,274573629511.233,1.21645100408832E+017,1.47975304534748E+034
,MSE,,86.7152942570688,,6053.37130204104,,5383.53166957723,,360329560.880657,,23956.5330782814,,9801444.94413906,,24409327229.4689,,9.89243186371322E+032
