n,time,Log2n*3.80130077-58.93899558,,sqrt(n)*0.0312835-8.86682128,,n*2.25428832e-05-0.07586539,,nlog(n)*1.08157331e-06+0.65406409,,n^2*1.18554713e-11+5.25616639,,n^3*6.05760461e-18+6.69964206,,2^n*0+9.25515385,,1*n!+0,
1000,0.029,-21.0560521050601,444.5794222731,-7.87755014818123,62.5135352457045,-0.0533225068,0.006776995125836,0.664842816295508,0.404296087034603,5.2561782454713,27.3233924099284,6.6996420660576,44.4974655734573,9.25515385,85.1219148638698,4.02387E+2567,1.61916E+5135
11000,0.252,-7.9057120293718,66.5482655541574,-5.58578011982691,34.0796767274462,0.1721063252,0.006382999273048,0.813787997221958,0.315605753822658,5.2576009020273,25.0560403903765,6.69965012267174,41.5721921043889,9.25515385,81.0567792467698,3.16246E+39680,1.00012E+79361
21000,0.48,-4.35953250376679,23.4210748550152,-4.33341143560583,23.168929648421,0.3975351572,0.006800450298029,0.980180221369702,0.250180253849445,5.2613946528433,22.8617348262385,6.69969815947629,38.6846451949928,9.25515385,77.0033250911698,9.57791E+81648,9.17364E+163297
31000,0.714,-2.22366185565531,8.62985717817219,-3.3587927270829,16.5876405977794,0.6229639892,0.008287555262378,1.15431272671701,0.193875297308968,5.2675594979193,20.7349041010911,6.69982252209894,35.8300712660669,9.25515385,72.9513090893698,5.34985E+125771,2.86209E+251543
41000,0.934,-0.690385544590335,2.63862839747404,-2.53239531845858,12.0158965038315,0.8483928212,0.007328589062095,1.33356986357623,0.159656075878331,5.2760954372553,18.8537927862333,6.70005955616733,33.2474428052685,9.25515385,69.2416013953698,5.88641E+171320,3.46498E+342641
51000,1.17,0.506542715143659,0.440175568828947,-1.80201229569264,8.83285708574823,1.0738216532,0.009250274393181,1.51667146756595,0.120181106424329,5.2870024708513,16.9497093449957,6.70044560730912,30.5858286154048,9.25515385,65.3697127781698,6.50548E+217939,4.23213E+435879
61000,1.391,1.48846430288545,0.009499290336948,-1.1403667433286,6.40781758923006,1.2992504852,0.008417973466035,1.70285255401462,0.097252015445443,5.3002805987073,15.2824747994293,6.70101702115198,28.1962807649238,9.25515385,61.8449157764698,8.87759E+265415,7.88116E+530831
71000,1.61,2.32098635561833,0.505501597875435,-0.531074557015311,4.58420025869831,1.5246793172,0.007279618913458,1.89160322366817,0.079300375580303,5.3159298208233,13.7339158368674,6.70181014332357,25.9265305356528,9.25515385,58.4483773901698,1.81662E+313607,3.30010E+627214
81000,1.831,3.04362459258972,1.47045840255337,0.036618906368974,3.21980350918048,1.7501081492,0.006543491525849,2.08255893669054,0.063281898628876,5.3339501371993,12.2706596637046,6.70286131945154,23.7350327159681,9.25515385,55.1180603884698,1.93565E+362412,3.74676E+724824
91000,2.041,3.68203267172907,2.69298822968224,0.570223854720402,2.16318246952351,1.9755369812,0.004285406830409,2.27544596896302,0.05496491236301,5.3543415478353,10.9782322126116,6.70420689516356,21.745498547101,9.25515385,52.0440157714698,7.03816E+411754,4.95357E+823509
101000,2.286,4.25381233114715,3.87228537061476,1.07523055034418,1.46596266021987,2.2009658132,0.007230812924737,2.47005117288637,0.033874834240849,5.3771040527313,9.55492426481186,6.70588321608729,19.5353676438501,9.25515385,48.5691053849698,4.14315E+461575,1.71657E+923151
111000,2.508,4.77156615939678,5.12373175796631,1.55579683253535,0.906690872129706,2.4263946452,0.006659433932034,2.6662038420488,0.025028455639,5.4022376518873,8.37661158560211,6.70792662785038,17.6393836793267,9.25515385,45.5240850755698,1.21592E+511827,1.47847E+1023654
121000,2.752,5.24462804631651,6.21319457728365,2.01516117000652,0.542931461386155,2.6518234772,0.010035335720299,2.86376416712661,0.012491229053504,5.4297423453033,7.17030406783042,6.7103734760805,15.6687205761376,9.25515385,42.2910099967698,2.17761E+562470,4.74200E+1124940
131000,2.989,5.68010416641991,7.24204163452259,2.45590435320113,0.284190968635903,2.8772523092,0.012487546399133,3.06261553484033,0.005419246969829,5.4596181329793,6.10395395900612,6.7132601064053,13.870113340162,9.25515385,39.2646840718698,8.32391E+613472,6.92875E+1226945
141000,3.198,6.08352994826798,8.32628308235141,2.88012255604731,0.101046069373892,3.1026811412,0.009085684842934,3.2626591921928,0.004180811135026,5.4918650149153,5.26181670665237,6.71662286445245,12.3807068622476,9.25515385,36.6891127625698,2.22145E+664807,4.93482E+1329614
151000,3.398,6.45930140410798,9.37156628679346,3.28954590801098,0.011762290069163,3.3281099732,0.004884615846105,3.46381043194946,0.004331012953374,5.5264829911113,4.5304398434501,6.72049809584961,11.0389935969243,9.25515385,34.3062512225698,1.09863E+716450,1.20699E+1432900
161000,3.621,6.81096786852298,10.175895002209,3.68562218461078,0.00417602674387,3.5535388052,0.004551012803844,3.66599579292154,0.002024621380638,5.5634720615673,3.77319770996952,6.72492214622443,9.63433268982245,9.25515385,31.7436896054698,3.60544E+768380,1.29992E+1536761
171000,3.85,7.1414363715221,10.8335533877786,4.06957739408043,0.048214231991154,3.7789676372,0.005045596564951,3.86915095842436,0.000366759208572,5.6028322262833,3.07242081349727,6.72993136120457,8.29400464524963,9.25515385,29.2156881421698,9.86415E+820580,9.73015E+1641161
181000,4.066,7.45311784039062,11.4725672646924,4.4424606081129,0.141722589460731,4.0043964692,0.003794995007026,4.07321914793237,5.21160968693971E-05,5.6445634852593,2.49186267699399,6.73556208641771,7.12656173323886,9.25515385,26.9273176789698,3.53799E+873035,1.25174E+1746071
191000,4.271,7.74803393357239,12.0897649752139,4.80517777279948,0.285345892953017,4.2298253012,0.001695355821271,4.27814986519818,5.11205723520797E-05,5.6886658384953,2.00977642963658,6.74185066749149,6.10510302104312,9.25515385,24.8417896004698,1.46794E+925730,2.15484E+1851460
201000,4.52,8.02789657992817,12.3053384154717,5.15851764004931,0.407704776654142,4.4552541332,0.004192027267683,4.48389790922161,0.001303360958571,5.7351392859913,1.47656348435945,6.74883345005357,4.9676985480777,9.25515385,22.4216819831698,1.85083E+978652,3.42558E+1957304
211000,4.731,8.2941681862189,12.6961675232825,5.50317195398414,0.596249526519685,4.6806829652,0.002531803991064,4.6904225824959,0.001646526811302,5.7839838277473,1.10877494149735,6.75654677973162,4.10283975688115,9.25515385,20.4679680584698,3.33901E+1031790,1.11490E+2063581
221000,4.966,8.54810789063951,12.8314969401819,5.83975137535549,0.763441465935617,4.9061117972,0.003586596834614,4.89768704966244,0.004666659183822,5.8351994637633,0.755507707806408,6.7650270021533,3.23649815447669,9.25515385,18.3968407489698,4.82248E+1085134,2.32563E+2170269
231000,5.209,8.79080757192152,12.8293454822743,6.16879819475893,0.921212574662501,5.1315406292,0.005999954124732,5.1056578124655,0.010679607724416,5.8887861940393,0.462109269606437,6.77431046294626,2.45019684540904,9.25515385,16.3713609778698,2.64808E+1138675,7.01234E+2277350
241000,5.445,9.02322022167563,12.8036599548084,6.49079659232154,1.09369051251135,5.3569694612,0.007749375761418,5.31430427578045,0.017081372329272,5.9447440185753,0.249744084101789,6.78443350773817,1.79408212165178,9.25515385,14.5172723606698,1.68741E+1192404,2.84735E+2384808
251000,5.671,9.24618254466151,12.7819302276523,6.80618099891102,1.28863590028861,5.5823982932,0.007850262447873,5.52359838578388,0.021727235873519,6.0030729373713,0.110272435734403,6.79543248215669,1.26434840692905,9.25515385,12.8461588204698,1.94116E+1246313,3.76810E+2492626
261000,5.908,9.46043314118862,12.6197812226152,7.11534297135376,1.45767705047732,5.8078271252,0.010034604845697,5.73351432586918,0.030445250476887,6.0637729504273,0.024265212084826,6.80734373182947,0.808819147980954,9.25515385,11.2034388955698,2.63056E+1300395,6.91987E+2600790
271000,6.159,9.66662726909313,12.3034490588857,7.41863689223912,1.58668510028983,6.0332559572,0.015811564299688,5.94402825922724,0.04621284933087,6.1268440577433,0.001034004622416,6.82020360238418,0.437190203805811,9.25515385,9.58616866286982,9.74554E+1354643,9.49755E+2709287
