n,time,Logn*0.20530613-3.50701963,,sqrt(n)*0.00091436-0.36456361,,n*5.32426343e-07-0.03404061,,n*logn*2.51191636e-08-0.00921627,,n^2*2.49048274e-13-0.16664807,,n^3*1.24528471e-19-0.24964701,
20000,0.004,-0.573664694801611,0.333696499620239,-0.235253578710854,0.057242274925951,-0.02339208314,0.000750326218749,-0.002038362305367,3.64618193308776E-05,-0.1665484506904,0.029086774032896,-0.249646013772232,0.064336300302543
40000,0.006,-0.368358564801611,0.140144335040322,-0.18169161,0.035228140464392,-0.01274355628,0.000351320902022,0.006144311933266,2.08259340829465E-08,-0.1662495927616,0.029669922206537,-0.249639040177856,0.065351318863056
60000,0.025,-0.248262177583428,0.074672217697637,-0.140592065878877,0.027420732282035,-0.00209502942,0.000734140619271,0.014706229025228,0.000105961720881,-0.1657514962136,0.036386133307727,-0.249620111850264,0.075416205832652
80000,0.006,-0.163052434801611,0.028578725712353,-0.105943547421707,0.012531357809356,0.00855349744,6.52034917608656E-06,0.023514426954532,0.000306755151546,-0.1650541610464,0.029259526011288,-0.249583251422848,0.065322798407875
100000,0.028,-0.096958623502014,0.015614657587518,-0.075417589864844,0.010695197893453,0.0192020243,7.74043764177905E-05,0.032505757641456,2.0301851923539E-05,-0.16415758726,0.036924538341585,-0.249522481529,0.077018727754014
120000,0.061,-0.042956047583428,0.010806859829168,-0.047820014718264,0.011841795603283,0.02985055116,0.000970288163036,0.041643027682455,0.000374692377302,-0.1630617748544,0.050203678950904,-0.249431824802112,0.096367917849969
140000,0.049,0.002702479782487,0.002143460378291,-0.022441425182938,0.005103877232169,0.04049907802,7.2265674510047E-05,0.050901660922291,3.61631426336839E-06,-0.1617667238296,0.044422611873863,-0.249305303875576,0.0889860543203
160000,0.057,0.042253695198389,0.000217453505302,0.00118039,0.003115828860552,0.05114760488,3.42505286405998E-05,0.060264190085064,1.0654936911428E-05,-0.1602724341856,0.047207310656936,-0.249136941382784,0.093719826879206
180000,0.06,0.077140339634755,0.000293791242795,0.023366483867439,0.001342014504235,0.06179613174,3.22608922743547E-06,0.069717554899669,9.44308732280882E-05,-0.1585789059224,0.047776738114233,-0.248920759957128,0.09543203593249
200000,0.045,0.108347506497986,0.004012906579512,0.044350613181342,4.21703240247359E-07,0.0724446586,0.000753209285671,0.079251618002912,0.001173173335817,-0.15668613904,0.040677298680862,-0.248650782232,0.086230781905466
220000,0.083,0.136577822820448,0.002870583098179,0.064309245415215,0.000349344306949,0.08309318546,8.68352995541271E-09,0.088858280975107,3.43194559832938E-05,-0.1545941335384,0.056450972291863,-0.248321030840792,0.109773625477405
240000,0.027,0.162350082416572,0.018319644810173,0.083379478242245,0.003178645566868,0.09374171232,0.004454456163406,0.098530924628911,0.005116673178267,-0.1523028894176,0.0321495261535,-0.247925528416896,0.07558404617531
260000,0.093,0.186058263028227,0.008659840317831,0.10167033824487,7.51747652804542E-05,0.10439023918,0.000129737548578,0.108264037204929,0.000232990831793,-0.1498124066776,0.058957864836568,-0.247458297593704,0.115911852400403
280000,0.128,0.208008609782487,0.006401377639326,0.119270223757004,7.62089932527799E-05,0.11503876604,0.000167993585766,0.118052957652582,9.89436514613298E-05,-0.1471226853184,0.075692491976807,-0.246913361004608,0.140560028259772
300000,0.1,0.228443893716169,0.01649783383297,0.136251987680424,0.001314206610782,0.1256872929,0.00065983701653,0.127893692631012,0.000778058088593,-0.14423372534,0.059650112593455,-0.246284741283,0.119913122045434
320000,0.051,0.247559825198389,0.038635764882021,0.152676515156585,0.010338113734387,0.13633581976,0.007282202134111,0.137782782522127,0.007531251342283,-0.1411455267424,0.036919903447114,-0.245566461062272,0.087951665827
340000,0.31,0.2655164826543,0.001978783315445,0.168595307457075,0.019995287073159,0.14698434662,0.026574103246908,0.147717201066978,0.026335706829536,-0.1378580895256,0.20057686835352,-0.244752542975816,0.307750383938135
360000,0.127,0.282446469634754,0.024163604921909,0.18405239,0.003254975204712,0.15763287348,0.000938372937642,0.157694278695339,0.000942138744627,-0.1343714136896,0.0683150158941,-0.243837009657024,0.137520087731364
380000,0.11,0.298460863504014,0.035517497072679,0.199085748775471,0.007936270634886,0.16828140034,0.003396721625591,0.167711642943056,0.003330633731187,-0.1306854992344,0.057929509541712,-0.242813883739288,0.1244776365592
400000,0.08,0.313653636497986,0.054594021848733,0.213728430270312,0.017883293062562,0.1789299272,0.009787130495797,0.177767171445824,0.009558419812517,-0.12680034616,0.042766383171896,-0.241677187856,0.103476213186944
420000,0.203,0.32810499700067,0.015651260274538,0.228009396499621,0.000625469913275,0.18957845406,0.00018013789542,0.187858954356174,0.000229251263188,-0.1227159544664,0.106090882993958,-0.240420944640552,0.196622134145919
440000,0.064,0.341883952820448,0.077219491235117,0.241954198661873,0.031667696821389,0.20022698092,0.018557790330578,0.197985263934213,0.017952050951521,-0.1184323241536,0.033281552896084,-0.239039176726336,0.091832742630976
460000,0.211,0.355050304211684,0.020750490143479,0.255585514337042,0.001987868088699,0.21087550778,1.54983128405201E-08,0.208144529677867,8.15371076058337E-06,-0.1139494552216,0.105592148448815,-0.237525906746744,0.201175489022989
480000,0.246,0.367656212416572,0.014800234019546,0.268923580563471,0.00052549054585,0.22152403464,0.000599072880304,0.218335317785821,0.000765334642011,-0.1092673476704,0.126214888320761,-0.235875157335168,0.232203667256793
500000,0.497,0.379747447797583,0.013748160997981,0.281986546445732,0.046230785209334,0.2321725615,0.070133572182471,0.228556314048736,0.072062012527101,-0.1043860015,0.361665122800158,-0.234080951125,0.534479357097835
520000,0.257,0.391364393028227,0.018053790113844,0.294790762846651,0.001428141756532,0.24282108836,0.000201041535295,0.238806309481857,0.00033101037467,-0.0993054167104,0.126953549977172,-0.232137310749632,0.239255308767382
540000,0.161,0.402542856852937,0.058342951696679,0.307351022363368,0.021418621746803,0.25346961522,0.008550629738935,0.249084188170967,0.007758824205738,-0.0940255933016,0.065038053238833,-0.230038258842456,0.15291091987854
560000,0.381,0.413314739782487,0.00104424240721,0.319680759634124,0.003760049239048,0.26411814208,0.013661368710831,0.259388916921164,0.014789255527608,-0.0885465312736,0.22047394503107,-0.227777818036864,0.370610431733725
580000,0.157,0.42370858292158,0.071133468204037,0.331792219707772,0.03055232007037,0.27476666894,0.013868988313224,0.26971953638609,0.012705693883095,-0.0828682306264,0.05753676806384,-0.225350010966248,0.14619153088589
600000,0.253,0.433750023716168,0.032670571073396,0.343696600487643,0.008225873340015,0.2854151958,0.001050744918752,0.280075153422024,0.000733063932826,-0.07699069136,0.108893856384251,-0.222748860264,0.226336978042495
620000,0.206,0.443462176944197,0.056388285479077,0.355404173968144,0.022321607199104,0.29606372266,0.008111474139377,0.290454934462439,0.007132635955055,-0.0709139134744,0.076681315475708,-0.219968388563512,0.181449068055395
640000,0.267,0.452865955198389,0.03454615330181,0.36692439,0.009984883716872,0.30671224952,0.001577062761939,0.300858099748255,0.001146370918563,-0.0646378969696,0.109983694706419,-0.217002618498176,0.234258534713091
660000,0.453,0.461980340038632,8.06465072094483E-05,0.378265965566294,0.005585175902738,0.31736077638,0.018397998984236,0.311283918279936,0.020083447818088,-0.0581626418456,0.261287246418573,-0.213845572701384,0.444683017831437
680000,0.321,0.470822612654301,0.022446815262561,0.389436961967953,0.004683617763403,0.32800930324,4.91303319102743E-05,0.321731703381956,5.3538983916649E-07,-0.0514881481024,0.138747420476756,-0.210491273806528,0.282482974132486
700000,0.116,0.479408551082085,0.13206577499958,0.400444851861697,0.080908873750623,0.3386578301,0.049576509304841,0.332200808789493,0.046742789721231,-0.04461441574,0.025796990543502,-0.206933744447,0.10428620330256
720000,0.6,0.487752599634755,0.012599478888756,0.411296577734878,0.035608981574569,0.34930635696,0.062847302660667,0.342690625182677,0.066208114368881,-0.0375414447584,0.406459093784628,-0.203167007256192,0.645077241544868
740000,0.37,0.495868015111144,0.015842757228019,0.42199860311731,0.002703854726151,0.35995488382,0.00010090435907,0.353200577106195,0.000282220609565,-0.0302692351576,0.16021546061365,-0.199185084867496,0.323971660835619
760000,0.284,0.503766993504014,0.048297531433794,0.43255695760317,0.02206916965231,0.37060341068,0.007500150741409,0.363730120222112,0.006356892070632,-0.0227977869376,0.094124882069809,-0.194981999914304,0.229423756241906
780000,0.289,0.511460780246411,0.049488798747842,0.442977276573553,0.023709001701009,0.38125193754,0.008510419979884,0.37427873885206,0.007272463300198,-0.0151271000984,0.092493293014262,-0.190551775030008,0.229969904934431
800000,0.422,0.518959766497986,0.009401196319344,0.453264836362683,0.000977489992785,0.3919004644,0.000905982043336,0.384845943771648,0.00138042389422,-0.00725717464,0.184261721979915,-0.185888432848,0.369528346790397
820000,0.609,0.52627357354027,0.006843661634797,0.463424585490733,0.021192201309545,0.40254899126,0.042622019009764,0.395431270225549,0.045611602337472,0.0008119894376,0.36989265619185,-0.180985996001672,0.624077873878754
840000,0.505,0.53341112700067,0.000807192137448,0.473461172487964,0.000994697640834,0.41319751812,0.008427695679328,0.406034276136349,0.009794214499856,0.0090803921344,0.24593625746557,-0.175838487124416,0.463541045549863
860000,0.315,0.540380722341677,0.050796470003256,0.483378970754145,0.028351477792225,0.42384604498,0.011847461507788,0.416654540484055,0.010333645601024,0.0175480334504,0.088477672404224,-0.170439928849624,0.235651924521528
880000,0.289,0.547190082820448,0.06666211886683,0.49318210083043,0.041690330299528,0.43449457184,0.021168670434905,0.427291661836426,0.01912458373348,0.0262149133856,0.069056001746938,-0.164784343810688,0.205920230687697
900000,0.523,0.553846410934352,0.000951501067531,0.502874450405468,0.000405037746482,0.4451430987,0.006061697080038,0.437945257012968,0.00723430930459,0.03508103194,0.238064919392735,-0.158865754641,0.46494090735214
920000,0.24,0.560356434211684,0.102628244940825,0.512459692331244,0.074234283945236,0.45579162556,0.046566025661827,0.448614959867734,0.043520201480616,0.0441463891136,0.038358636897241,-0.152678183973952,0.154196156169081
940000,0.77,0.566726446077469,0.041320137724296,0.521941300885439,0.061533118206408,0.46644015242,0.092148581062793,0.459300420178014,0.096534228901559,0.0534109849064,0.513499816552816,-0.146215654442936,0.839451125446298
960000,0.44,0.572962342416572,0.017678984500902,0.531322566484491,0.008339811149314,0.47708867928,0.001375570130735,0.470001302627643,0.000900078159355,0.0628748193184,0.142223401904129,-0.139472188681344,0.335788017455147
980000,0.297,0.579069654366586,0.079563289914485,0.540606609024024,0.059344179960184,0.48773720614,0.036380681806093,0.480717285875058,0.033752041129298,0.0725378923496,0.05038323777086,-0.132441809322568,0.184420267594241
1000000,0.537,0.585053577797583,0.002309146339148,0.54979639,0.000163747597032,0.498385733,0.001491061615947,0.491448061697472,0.002074979083117,0.082400204,0.206660974523242,-0.125118539,0.438400959687495
1020000,0.592,0.590918999872483,1.16856127569104E-06,0.558894723544075,0.001095959329223,0.50903425986,0.006883314036978,0.502193334203524,0.00806523722148,0.0924617542696,0.249538458947405,-0.117496400347032,0.503385142105396
